CostCenter, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
205422PMF,SG&A,S&A 5422-PO & M - F & B - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,af1ebce0-124a-4345-bdf4-bc36027ce03f,3122984564638812,205422PMF,[SG&A].[205422PMF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205423PMF,SG&A,S&A 5423-PO & M - F & B - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,8d483816-3d51-40e1-b884-94d4c2527cc7,270693622172028,205423PMF,[SG&A].[205423PMF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205511UTH,SG&A,S&A 5511-Utilities - Hotel - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,75ec6473-6889-4541-80fe-8baed873042e,2366808588568575,205511UTH,[SG&A].[205511UTH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205512UTH,SG&A,S&A 5512-Utilities - Hotel - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,e12fa846-100f-464e-a29b-6222e536da9f,3170885022138418,205512UTH,[SG&A].[205512UTH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205513UTH,SG&A,S&A 5513-Utilities - Hotel - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,eefb9c53-50eb-4f22-8bfc-45932f315d03,1371975825703078,205513UTH,[SG&A].[205513UTH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205521UTF,SG&A,S&A 5521-Utilities - F & B - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,e282e828-9c32-46a6-8fd7-6c186495424a,3523364323609551,205521UTF,[SG&A].[205521UTF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205522UTF,SG&A,S&A 5522-Utilities - F & B - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,6daba421-0026-480b-9022-f021e8f4eafb,4023801920637783,205522UTF,[SG&A].[205522UTF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205523UTF,SG&A,S&A 5523-Utilities - F & B - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,09d53bb1-fbb2-498b-b9da-d8c4c38ba18d,3804590767033369,205523UTF,[SG&A].[205523UTF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205610MFH,SG&A,S&A 5610-Management Fees - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,fb0708c5-b84a-4b7e-b1e1-933888e05046,744281262477054,205610MFH,[SG&A].[205610MFH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205620MFF,SG&A,S&A 5620-Management Fees - F & B,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,eb3cd488-f410-4757-9937-a9b016a9bda6,3471339485284354,205620MFF,[SG&A].[205620MFF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
206010NOI,SG&A,S&A 6010 Non-Operating Income and Expenses,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,f18268df-f90c-409e-8ce9-a4ccc1aa76e0,4182062791803882,206010NOI,[SG&A].[206010NOI],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
206100NOI,SG&A,S&A 6100-Non-Operating Income and Expenses,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,6d94627b-0b41-4e63-a589-16a271308d17,3501692588543605,206100NOI,[SG&A].[206100NOI],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
206500IDA,SG&A,"S&A 6500-Interest, Depreciation & Amortization",,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,ccffdff7-3906-45c3-a6d4-a124738e985d,4367601046015762,206500IDA,[SG&A].[206500IDA],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
206900ITX,SG&A,S&A 6900-Income Taxes,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,098fff90-9a30-4f26-a504-7059fe4efd98,4320054755019689,206900ITX,[SG&A].[206900ITX],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
207000RPR,SG&A,S&A 7000-Replacement Reserve,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,b8dbb080-9f1e-4248-9689-0c482539e668,4110865082764115,207000RPR,[SG&A].[207000RPR],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208200AGC,SG&A,S&A 8200-A&G - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,1bec0e8b-dac3-468e-8810-19fe7d04cdb4,3800465402251801,208200AGC,[SG&A].[208200AGC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208300ITC,SG&A,S&A 8300-IT - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,853a1b50-6bdb-4b4c-8621-8e06a18a0e8f,693042481284752,208300ITC,[SG&A].[208300ITC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208400SMC,SG&A,S&A 8400-S&M - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,1fda47d6-88ca-45e0-b01a-e7f8de79802b,3772040675935920,208400SMC,[SG&A].[208400SMC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208500PMC,SG&A,S&A 8500-PO & M - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,c8575671-1aa7-4249-b8af-79c182fd040b,4090753078411958,208500PMC,[SG&A].[208500PMC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208600UTC,SG&A,S&A 8600-Utilities (Energy Costs) - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,0fc828e9-4bdc-4ed8-976a-634343b57791,1319580828845709,208600UTC,[SG&A].[208600UTC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208700MFC,SG&A,S&A 8700-Management Fees - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,a2bf94d1-bb60-409d-9052-c80d3fcd1411,1863068795027700,208700MFC,[SG&A].[208700MFC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
208800FEC,SG&A,S&A 8800-Fixed Expenses - Condo,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,79fc46e9-7298-4666-8897-30d54dce97d6,3682187396270426,208800FEC,[SG&A].[208800FEC],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
In Service,HQ Cost Center,,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,fd8a1ce2-6b03-484a-a5b6-d12d0c5fe763,3021157896176384,In Service,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
Back Office,In Service,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,cf6c8b64-dc77-424c-95d8-be5b120382a5,3821043451838644,Back Office,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
HQ COGS,In Service,,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,01dcc741-5a1b-4480-817b-6663d2c0738c,1621855422793644,HQ COGS,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
L7 Chicago Hotel,HQ COGS,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,e1131123-f069-4d53-8ce4-08ff7b4c422a,2718487731781936,L7 Chicago Hotel,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
Restaurant1,HQ COGS,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,33e55331-1afd-4e45-b8b2-c839647e99eb,3782087452544181,Restaurant1,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
Public Area,HQ COGS,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,0dc066c6-d4eb-4058-b28e-37b7f29d1dcd,2165711830139172,Public Area,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
Rooms,HQ COGS,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,05707a03-52ac-4273-9b04-762f9e46d6a4,3203041429635185,Rooms,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
Meeting rooms,HQ COGS,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,97ed05cf-d14f-4c34-99e7-ecd4c08cf7c2,3091052902501874,Meeting rooms,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
Hotel CCs,CostCenter,,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,28d6282f-d9bf-40e2-8451-ab2570073881,3487580427600558,Hotel CCs,<none>,true,+,never share,<none>,0,,true,+,never share,<none>,0,,
CC1000,Hotel CCs,1000-Summary - Hotel Departments,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,23a412a9-9b70-4984-bafd-f4be5fb5b058,2732004014113368,CC1000,[Hotel CCs].[CC1000],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC2400,Hotel CCs,2400-Mini Bar,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,66fdac25-9573-4712-ae76-27f1ee93513b,1132059272429969,CC2400,[Hotel CCs].[CC2400],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC3100,Hotel CCs,3100-Other Operated Departments - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,7853fdfc-d464-4872-9d81-d9d47bf8fa2f,2748179748309786,CC3100,[Hotel CCs].[CC3100],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC4010,Hotel CCs,,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,79cc420b-8063-425a-80d2-42196f7d99c4,1681265768218741,CC4010,[Hotel CCs].[CC4010],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC4100,Hotel CCs,4100-Miscellaneous Income - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,18b36487-a380-4461-8ecc-77e503511bfc,2645841366173936,CC4100,[Hotel CCs].[CC4100],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5110,Hotel CCs,5110-A & G - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,7934517e-141d-4be8-ad8b-9ca275981b51,1344150016446414,CC5110,[Hotel CCs].[CC5110],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
CC5210,Hotel CCs,5210-IT - Hotel,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,52bd824f-01f7-43fe-874c-d73fc277776d,3500123856520180,CC5210,[Hotel CCs].[CC5210],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
